               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,             0.06016,            0.029731,           0.0032365,             0.85848,                 0.5,             0.66167,             0.30631,            0.051959,           0.0071401,           0.0019647,            0.007723,            0.007723,            0.007723
                 117,            0.057968,            0.024623,           0.0029364,             0.85848,                 0.5,             0.66167,             0.30631,            0.051959,           0.0071401,           0.0019647,           0.0077032,           0.0077032,           0.0077032
                 118,             0.06075,            0.021025,           0.0025427,             0.85848,                 0.5,             0.66167,             0.30631,            0.051959,           0.0071401,           0.0019647,           0.0076834,           0.0076834,           0.0076834
                 119,            0.062221,            0.027402,           0.0026445,             0.60128,                   1,             0.82833,             0.40425,            0.053419,           0.0068566,           0.0019412,           0.0076636,           0.0076636,           0.0076636
                 120,            0.067776,            0.026743,           0.0025328,             0.60128,                   1,             0.82833,             0.40425,            0.053419,           0.0068566,           0.0019412,           0.0076438,           0.0076438,           0.0076438
                 121,            0.057222,             0.02067,           0.0027374,             0.60128,                   1,             0.82833,             0.40425,            0.053419,           0.0068566,           0.0019412,            0.007624,            0.007624,            0.007624
                 122,            0.060706,            0.021488,           0.0029882,             0.60128,                   1,             0.82833,             0.40425,            0.053419,           0.0068566,           0.0019412,           0.0076042,           0.0076042,           0.0076042
                 123,            0.073022,            0.026381,           0.0027428,                   1,             0.93975,               0.995,             0.52231,            0.062336,           0.0067701,            0.001912,           0.0075844,           0.0075844,           0.0075844
                 124,            0.071894,            0.027466,            0.002581,                   1,             0.93975,               0.995,             0.52231,            0.062336,           0.0067701,            0.001912,           0.0075646,           0.0075646,           0.0075646
                 125,            0.072172,            0.027271,           0.0026547,                   1,             0.93975,               0.995,             0.52231,            0.062336,           0.0067701,            0.001912,           0.0075448,           0.0075448,           0.0075448
                 126,            0.076168,            0.024901,           0.0025506,             0.62913,                   1,             0.82833,             0.39757,            0.056802,           0.0067998,           0.0019547,            0.007525,            0.007525,            0.007525
                 127,            0.061614,            0.023301,            0.002613,             0.62913,                   1,             0.82833,             0.39757,            0.056802,           0.0067998,           0.0019547,           0.0075052,           0.0075052,           0.0075052
                 128,            0.069628,            0.026049,           0.0025833,             0.62913,                   1,             0.82833,             0.39757,            0.056802,           0.0067998,           0.0019547,           0.0074854,           0.0074854,           0.0074854
                 129,            0.071887,            0.022673,           0.0025926,              0.6358,                   1,             0.82833,             0.39757,            0.058534,           0.0067297,           0.0018718,           0.0074656,           0.0074656,           0.0074656
                 130,            0.074081,            0.026791,           0.0024665,              0.6358,                   1,             0.82833,             0.39757,            0.058534,           0.0067297,           0.0018718,           0.0074458,           0.0074458,           0.0074458
                 131,            0.064333,            0.022898,           0.0026224,              0.6358,                   1,             0.82833,             0.39757,            0.058534,           0.0067297,           0.0018718,            0.007426,            0.007426,            0.007426
                 132,            0.066161,             0.02449,           0.0029167,                   1,             0.97608,               0.995,             0.48089,            0.064686,           0.0061468,           0.0021559,           0.0074062,           0.0074062,           0.0074062
                 133,             0.07717,            0.026917,           0.0027303,                   1,             0.97608,               0.995,             0.48089,            0.064686,           0.0061468,           0.0021559,           0.0073864,           0.0073864,           0.0073864
                 134,            0.076258,            0.027884,           0.0027507,                   1,             0.97608,               0.995,             0.48089,            0.064686,           0.0061468,           0.0021559,           0.0073666,           0.0073666,           0.0073666
                 135,             0.07561,            0.022078,           0.0029688,             0.61538,                   1,             0.66333,             0.24868,             0.07912,           0.0066962,           0.0022326,           0.0073468,           0.0073468,           0.0073468
                 136,            0.081826,             0.02287,           0.0027449,             0.61538,                   1,             0.66333,             0.24868,             0.07912,           0.0066962,           0.0022326,            0.007327,            0.007327,            0.007327
                 137,            0.083609,            0.022144,           0.0026894,             0.61538,                   1,             0.66333,             0.24868,             0.07912,           0.0066962,           0.0022326,           0.0073072,           0.0073072,           0.0073072
                 138,            0.091047,            0.024924,           0.0026429,             0.61538,                   1,             0.66333,             0.24868,             0.07912,           0.0066962,           0.0022326,           0.0072874,           0.0072874,           0.0072874
                 139,            0.088582,            0.029662,           0.0026478,             0.59632,                   1,             0.66333,             0.16579,            0.084509,            0.007066,           0.0023066,           0.0072676,           0.0072676,           0.0072676
                 140,            0.086017,            0.024834,           0.0029971,             0.59632,                   1,             0.66333,             0.16579,            0.084509,            0.007066,           0.0023066,           0.0072478,           0.0072478,           0.0072478
                 141,            0.086923,            0.022765,           0.0028594,             0.59632,                   1,             0.66333,             0.16579,            0.084509,            0.007066,           0.0023066,            0.007228,            0.007228,            0.007228
                 142,            0.081213,             0.02191,           0.0027262,             0.58789,                   1,             0.82833,             0.33552,            0.078576,           0.0070395,           0.0023703,           0.0072082,           0.0072082,           0.0072082
                 143,            0.088944,            0.022649,           0.0027081,             0.58789,                   1,             0.82833,             0.33552,            0.078576,           0.0070395,           0.0023703,           0.0071884,           0.0071884,           0.0071884
                 144,             0.08567,            0.020641,           0.0026206,             0.58789,                   1,             0.82833,             0.33552,            0.078576,           0.0070395,           0.0023703,           0.0071686,           0.0071686,           0.0071686
                 145,            0.082781,            0.027323,           0.0028288,             0.71029,                   1,               0.995,             0.56474,            0.072368,            0.006587,           0.0025484,           0.0071488,           0.0071488,           0.0071488
                 146,            0.085049,            0.024198,           0.0029676,             0.71029,                   1,               0.995,             0.56474,            0.072368,            0.006587,           0.0025484,            0.007129,            0.007129,            0.007129
                 147,             0.07473,            0.021289,           0.0029577,             0.71029,                   1,               0.995,             0.56474,            0.072368,            0.006587,           0.0025484,           0.0071092,           0.0071092,           0.0071092
                 148,            0.077778,            0.022851,           0.0032251,             0.92867,                   1,               0.995,               0.597,            0.066109,           0.0063714,           0.0028418,           0.0070894,           0.0070894,           0.0070894
                 149,            0.066244,            0.018449,           0.0038137,             0.92867,                   1,               0.995,               0.597,            0.066109,           0.0063714,           0.0028418,           0.0070696,           0.0070696,           0.0070696
                 150,            0.072436,            0.026308,           0.0034224,             0.92867,                   1,               0.995,               0.597,            0.066109,           0.0063714,           0.0028418,           0.0070498,           0.0070498,           0.0070498
                 151,             0.07223,            0.023474,           0.0033911,             0.66608,                   1,               0.995,             0.59686,            0.064622,           0.0065622,           0.0029492,             0.00703,             0.00703,             0.00703
                 152,            0.071281,             0.02752,           0.0032054,             0.66608,                   1,               0.995,             0.59686,            0.064622,           0.0065622,           0.0029492,           0.0070102,           0.0070102,           0.0070102
                 153,            0.070526,            0.023005,           0.0032152,             0.66608,                   1,               0.995,             0.59686,            0.064622,           0.0065622,           0.0029492,           0.0069904,           0.0069904,           0.0069904
                 154,            0.072536,            0.024653,           0.0034021,             0.66608,                   1,               0.995,             0.59686,            0.064622,           0.0065622,           0.0029492,           0.0069706,           0.0069706,           0.0069706
                 155,            0.071315,            0.024777,           0.0035455,             0.85764,                   1,               0.995,             0.49722,            0.073479,           0.0064247,           0.0030081,           0.0069508,           0.0069508,           0.0069508
                 156,            0.077714,            0.023515,           0.0036436,             0.85764,                   1,               0.995,             0.49722,            0.073479,           0.0064247,           0.0030081,            0.006931,            0.006931,            0.006931
                 157,             0.07872,            0.019663,           0.0031642,             0.85764,                   1,               0.995,             0.49722,            0.073479,           0.0064247,           0.0030081,           0.0069112,           0.0069112,           0.0069112
                 158,             0.07723,            0.025403,           0.0034856,                   1,             0.89648,               0.995,             0.47292,             0.06948,           0.0067816,           0.0032086,           0.0068914,           0.0068914,           0.0068914
